user_id,gender,age,city,state,latitude,longitude,occupations,ranking
17,M,50,Modesto,CA,37.671778,-121.01249,academic/educator,abcfg>de
19,M,1,Royal Oak,MI,42.518635,-83.16357,K-12 student,ac>defg>b
36,M,25,San Francisco,CA,37.801028,-122.43836,clerical/admin,bcdeg>af
48,M,25,San Diego,CA,32.7409,-117.24434,college/grad_student,bcdef>ag
53,M,25,Tamuning,GU,13.48,144.77,other,abcfg>de
58,M,25,Atlanta,GA,33.752856,-84.39013,artist,bdf>aceg
118,M,35,Alexandria,VA,38.757924,-77.15284,technician/engineer,bcdefg>a
123,M,35,Wichita,KS,37.701997,-97.28114,homemaker,f>bcdeg>a
147,M,18,Thousand Oaks,CA,34.208837,-118.87348,college/grad_student,abf>cdeg
149,M,25,Columbia,SC,33.990555,-80.99826,academic/educator,abcdg>ef
151,F,25,Phoenix,AZ,33.50711,-112.08483,writer,abfg>c>de
157,M,35,Saratoga Springs,NY,43.080399,-73.77038,self-employed,acf>be>dg
163,M,18,Phoenix,AZ,33.50711,-112.08483,college/grad_student,ag>f>e>bcd
166,M,18,Anaheim,CA,33.806965,-117.92594,college/grad_student,bcd>aeg>f
169,M,25,Minneapolis,MN,44.875997,-93.37021,executive/managerial,bcdeg>f>a
170,M,25,Bayonne,NJ,40.666552,-74.11768,lawyer,bcd>afg>e
173,M,25,Cincinnati,OH,39.188859,-84.45798,other,abcf>dg>e
195,M,25,Bronx,NY,40.864166,-73.88881,programmer,abcg>def
199,M,18,Boise,ID,43.593523,-116.19903,college/grad_student,abdfg>ce
202,M,18,Madison,WI,43.074296,-89.40774,college/grad_student,abcdef>g
222,M,25,Saint Paul,MN,44.913815,-93.17459,academic/educator,bcg>adef
224,F,18,Ithaca,NY,42.449454,-76.49685,college/grad_student,abc>dfg>e
229,M,18,Southport,ME,43.823008,-69.66661,K-12 student,abcd>f>e>g
245,M,35,Lawrence,KS,38.932303,-95.22513,self-employed,bcf>deg>a
258,M,25,Minneapolis,MN,44.903864,-93.37056,executive/managerial,abcdef>g
284,M,25,Chula Vista,CA,32.638654,-117.06686,programmer,abf>cd>eg
295,M,18,Denver,CO,39.731286,-104.98306,other,abcdfg>e
301,M,18,Champaign,IL,40.114931,-88.24322,college/grad_student,abefg>cd
302,M,18,Waterville,ME,44.554965,-69.61297,college/grad_student,abcdf>eg
308,M,25,New York,NY,40.798502,-73.96811,artist,bc>defg>a
329,M,35,Boston,MA,42.34308,-71.09268,executive/managerial,g>bcdef>a
355,M,18,Saint Paul,MN,44.928315,-93.08876,clerical/admin,abcdf>g>e
372,F,18,Little Rock,AR,34.771024,-92.37117,college/grad_student,abcde>fg
377,M,25,Minneapolis,MN,45.019315,-93.24304,technician/engineer,bcdef>a>g
409,M,18,Saint Paul,MN,44.804548,-93.19871,programmer,abcdef>g
415,F,35,Minneapolis,MN,44.938615,-93.22082,other,bcf>ag>de
424,M,25,Saint Paul,MN,45.076365,-93.19335,technician/engineer,abc>defg
426,M,18,Minneapolis,MN,44.971965,-93.23588,college/grad_student,abceg>df
429,M,18,Oshkosh,WI,44.043984,-88.53528,other,abcf>eg>d
431,M,18,Anoka,MN,45.247509,-93.418,K-12 student,acdf>beg
436,M,18,Granville,OH,40.070985,-82.52134,college/grad_student,f>bcdeg>a
438,M,18,Madison,WI,43.073395,-89.45049,lawyer,abcd>efg
442,M,25,Saint Paul,MN,44.934465,-93.16554,academic/educator,bcd>aef>g
453,M,18,Saint Paul,MN,44.935315,-93.12049,college/grad_student,bcdf>ag>e
457,M,18,Eau Claire,WI,44.82961,-91.50521,college/grad_student,acf>bdeg
480,F,18,Minneapolis,MN,45.014764,-93.33965,college/grad_student,aeg>bcdf
482,M,25,Hopkins,MN,44.953763,-93.43346,sales/marketing,af>bdeg>c
509,M,25,Saint Paul,MN,44.921982,-92.94234,artist,abcd>efg
531,F,18,Arlington,VA,38.843466,-77.08973,sales/marketing,a>bdef>cg
533,M,25,Chapel Hill,NC,35.915083,-79.02939,programmer,abg>cdef
585,M,18,Madison,WI,43.078646,-89.37727,academic/educator,c>eg>abf>d
604,M,45,Jacksonville,FL,30.206922,-81.54604,technician/engineer,bdfg>e>c>a
610,M,25,Houston,TX,29.69023,-95.43474,college/grad_student,acfg>bde
623,M,25,Warrenville,IL,41.82552,-88.19452,technician/engineer,abcfg>e>d
624,M,25,Dallas,TX,32.78643,-96.81992,academic/educator,bg>cef>ad
626,M,18,Houston,TX,29.717529,-95.42821,college/grad_student,acdf>be>g
646,M,35,Bordentown,NJ,40.132784,-74.71778,executive/managerial,bdef>cg>a
651,M,35,Kensington,MD,39.027259,-77.07745,executive/managerial,b>acdf>eg
660,M,45,Lafayette,LA,30.2786,-92.02759,self-employed,afg>bcde
674,M,25,Falls Church,VA,38.864669,-77.18781,technician/engineer,abcdf>eg
676,M,18,Saint Paul,MN,44.896938,-92.90241,self-employed,abcdf>eg
678,M,25,Port Saint Lucie,FL,27.291694,-80.29691,other,abg>cdef
687,F,25,Silver Creek,NY,42.535276,-79.16539,executive/managerial,abcdeg>f
692,F,25,Mesa,AZ,33.436767,-111.64338,other,acdf>bg>e
696,M,25,San Francisco,CA,37.758434,-122.43512,programmer,abfg>cd>e
698,M,18,Stephenville,TX,32.242816,-98.21058,college/grad_student,a>eg>f>bcd
699,M,18,Lawton,OK,34.613973,-98.46255,other,af>eg>d>bc
710,M,25,Mesa,AZ,33.436767,-111.64338,writer,bcfg>ade
712,M,25,San Jose,CA,37.269343,-121.84939,other,bcf>aeg>d
713,M,35,El Paso,TX,31.848055,-106.54487,executive/managerial,bef>g>cd>a
714,M,18,Arlington,TX,32.721632,-97.14698,college/grad_student,abcdef>g
716,M,18,Seattle,WA,47.450321,-122.27472,college/grad_student,abfg>cde
721,F,35,Ashland,OR,42.169751,-122.61772,homemaker,beg>acd>f
735,M,25,Lewiston,ME,44.094773,-70.19141,sales/marketing,abf>cde>g
737,M,1,Madison,WI,43.036696,-89.44499,unemployed,a>bcdefg
746,F,18,Freedom,CA,36.935552,-121.77972,unemployed,f>ag>bcde
752,F,25,Eugene,OR,44.06092,-123.08275,clerical/admin,af>b>d>ceg
770,M,18,Lakewood,WA,47.16632,-122.50844,college/grad_student,g>de>acf>b
774,M,18,Charlottesville,VA,38.026342,-78.5348,college/grad_student,abc>deg>f
777,M,18,Llano,NM,36.129822,-105.66493,unemployed,bcdf>eg>a
796,M,50,Concrete,WA,48.497601,-121.70018,doctor/health_care,bdf>ace>g
802,M,25,Harrisonburg,VA,38.426786,-78.88153,self-employed,abcf>eg>d
839,M,25,Seattle,WA,47.671346,-122.34166,other,bcdef>ag
869,M,18,Escondido,CA,33.181543,-117.11136,writer,acdefg>b
877,M,25,La Habra,CA,33.934513,-117.95159,other,bcg>ade>f
881,M,18,Stephenville,TX,32.242816,-98.21058,sales/marketing,abc>dg>ef
888,F,1,Edison,NJ,40.575503,-74.35781,K-12 student,ag>e>bcf>d
889,M,45,New York,NY,40.786387,-73.97709,writer,g>bc>def>a
899,F,25,Athens,GA,33.925085,-83.34529,academic/educator,bc>dfg>a>e
905,F,45,Morganton,NC,35.742752,-81.71625,programmer,bf>aceg>d
919,F,35,Oceanside,CA,33.195354,-117.28232,academic/educator,acdefg>b
937,M,25,Brookfield,IL,41.822681,-87.84753,scientist,abcdfg>e
949,M,50,Kihei,HI,20.771418,-156.45769,technician/engineer,bcdefg>a
963,M,25,Ypsilanti,MI,42.223482,-83.63316,other,abcg>df>e
975,M,35,Seattle,WA,47.538887,-122.38803,other,abcdeg>f
984,M,50,San Diego,CA,32.961014,-117.1251,self-employed,b>cdefg>a
985,M,25,Gainesville,FL,29.611545,-82.3941,college/grad_student,abd>cfg>e
996,M,25,Seattle,WA,47.63287,-122.32253,technician/engineer,bcdf>eg>a
1004,M,25,San Jose,CA,37.269343,-121.84939,clerical/admin,abcdg>f>e
1010,M,25,Staten Island,NY,40.63212,-74.11551,other,abc>d>efg
1015,M,35,Brooklyn,NY,40.641436,-74.01574,clerical/admin,bfg>acde
1019,M,35,Chicago,IL,41.973181,-87.6665,academic/educator,cfg>abde
1051,F,25,Brookfield,IL,41.822681,-87.84753,other,abcdf>g>e
1057,M,45,Norman,OK,35.228649,-97.45629,technician/engineer,bc>aefg>d
1058,M,25,Albany,OR,44.635395,-123.0896,academic/educator,abcde>fg
1063,M,35,West Des Moines,IA,41.570916,-93.73568,executive/managerial,bcdfg>ae
1086,M,18,Bellingham,WA,48.747578,-122.48508,college/grad_student,abcd>efg
1087,M,25,Glen Gardner,NJ,40.716332,-74.91405,self-employed,bcdef>ag
1088,F,1,Seattle,WA,47.671346,-122.34166,K-12 student,abcd>efg
1101,M,35,Deep River,CT,41.37934,-72.44578,academic/educator,ab>cde>fg
1105,M,35,Ann Arbor,MI,42.307288,-83.70443,doctor/health_care,ag>bcef>d
1112,M,18,Philadelphia,PA,39.961612,-75.19957,doctor/health_care,abcfg>de
1113,M,18,Portland,OR,45.514241,-122.60089,college/grad_student,cg>abdef
1117,M,18,New York,NY,40.752159,-73.97231,sales/marketing,abc>deg>f
1120,M,18,Davis,CA,38.549256,-121.73655,college/grad_student,abf>cde>g
1125,F,18,Madison,WI,43.061546,-89.40024,college/grad_student,abdg>cf>e
1130,M,18,Crystal Lake,IL,42.265643,-88.31664,executive/managerial,abcf>de>g
1134,M,18,Philadelphia,PA,40.064257,-75.00155,writer,abcdf>eg
1137,M,18,Waterloo,NY,42.911377,-76.87027,college/grad_student,ag>def>bc
1151,M,25,Fort Wayne,IN,41.098248,-85.12061,scientist,bcdg>af>e
1155,M,25,Redondo Beach,CA,33.871214,-118.37177,programmer,bf>ce>adg
1179,M,50,South Pasadena,CA,34.112958,-118.15577,academic/educator,bcdfg>e>a
1181,M,35,Bowie,MD,38.93193,-76.72457,executive/managerial,g>bcf>ad>e
1182,M,1,Northridge,CA,34.276154,-118.54581,K-12 student,ad>cfg>be
1184,F,25,Loma Linda,CA,34.050764,-117.25327,college/grad_student,af>bcde>g
1194,F,25,Davis,CA,38.619545,-121.961532,academic/educator,a>bcdef>g
1202,M,35,Beaverton,OR,45.517695,-122.85826,programmer,abcdef>g
1207,M,50,Toledo,OH,41.667361,-83.71609,other,e>bcd>afg
1215,M,35,Newport News,VA,37.115698,-76.5183,technician/engineer,abcef>dg
1230,M,25,San Jose,CA,37.295092,-121.89649,lawyer,bcdg>aef
1244,M,25,Fairfax,VA,38.846212,-77.32787,college/grad_student,bc>aeg>df
1246,M,18,Bellingham,WA,48.747578,-122.48508,college/grad_student,acd>bfg>e
1260,M,25,Charlotte,NC,35.321279,-80.7405,technician/engineer,abcf>d>g>e
1264,M,25,Madison,WI,43.036696,-89.44499,academic/educator,bcf>adg>e
1266,M,25,Allentown,PA,40.601996,-75.52104,college/grad_student,a>bcdfg>e
1267,M,25,Albany,NY,42.678112,-73.82983,scientist,bg>f>acde
1274,M,45,Hixson,TN,35.167987,-85.21158,executive/managerial,a>bcg>ef>d
1285,M,35,Seattle,WA,47.716648,-122.30308,college/grad_student,abcefg>d
1297,M,25,San Diego,CA,32.791246,-117.24343,executive/managerial,abcf>deg
1299,M,25,Franklin,MA,42.089104,-71.4069,sales/marketing,abcdfg>e
1301,F,25,Bronx,NY,40.878522,-73.82541,artist,abcdeg>f
1304,M,25,Portland,OR,45.589689,-122.73875,sales/marketing,bcdefg>a
1306,M,25,Liberty,MO,39.246179,-94.41763,clerical/admin,abcdf>eg
1317,M,45,Kenmore,WA,47.75287,-122.24736,executive/managerial,b>acdefg
1329,M,18,Schaumburg,IL,42.037108,-88.10719,sales/marketing,abcdf>eg
1333,M,25,Milford,CT,41.21953,-73.0554,technician/engineer,abcfg>e>d
1340,M,25,Niagara Falls,NY,43.32684,-78.830681,executive/managerial,acg>bef>d
1354,F,25,Mountain View,CA,37.380207,-122.08787,artist,bcd>a>efg
1356,F,18,Baldwin Park,CA,34.087108,-117.96966,college/grad_student,b>cf>ad>g>e
1369,M,25,Schenectady,NY,42.820909,-73.92002,customer service,bcdfg>a>e
1383,F,25,Wilmington,DE,39.758563,-75.56413,executive/managerial,bcdf>ae>g
1389,M,25,Wilmington,DE,39.738563,-75.54833,technician/engineer,abcdg>f>e
1393,M,18,Fairfield,CT,41.163445,-73.2629,college/grad_student,bcdf>aeg
1399,M,18,Wykagyl,NY,40.946805,-73.78797,technician/engineer,abg>cdef
1413,M,18,Seattle,WA,47.61157,-122.30406,clerical/admin,b>acde>fg
1418,M,18,Ypsilanti,MI,42.223482,-83.63316,college/grad_student,cf>abdeg
1420,M,18,Sunderland,MA,42.449978,-72.56302,college/grad_student,abcdeg>f
1426,M,18,San Carlos,CA,37.499175,-122.26655,sales/marketing,abf>deg>c
1427,M,25,Annapolis,MD,38.997511,-76.49803,programmer,abcefg>d
1447,M,18,Fort Collins,CO,40.586282,-105.10494,college/grad_student,abcdg>ef
