latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,activity,religion,color,weight,budget,height,134999_s,132825_s,135106_s,132667_s,132613_s
18.871654,-99.183251,1,1,1,1,1,1,1,1990,1,1,1,1,1,80,1,1.67,3,0,0,0,0
18.890695,-99.157104,2,2,2,2,2,1,0,1986,2,1,1,1,2,45,2,1.45,2,0,0,0,0
18.895187,-99.18039,2,2,1,3,2,1,1,1994,3,1,1,1,1,73,1,1.64,2,0,0,0,0
18.871678,-99.183263,2,2,1,1,1,1,1,1993,1,1,1,1,3,85,1,1.75,3,0,0,0,0
18.871674,-99.183253,2,3,1,1,2,2,1,1987,1,1,2,1,4,90,1,1.6,3,0,0,0,0
22.156469,-100.98554,2,3,3,1,2,2,2,1987,2,1,1,1,1,65,1,1.71,0,3,0,0,0
22.143289,-100.987683,2,2,1,1,1,2,3,1952,3,2,3,1,1,70,1,1.66,0,3,0,0,0
22.175833,-100.986671,2,1,2,1,2,1,1,1990,1,1,1,1,3,66,2,1.72,0,1,0,0,0
22.207749,-100.942383,2,1,2,1,2,1,1,1991,1,2,1,1,2,52,2,1.54,0,2,0,0,0
22.139997,-100.978803,2,2,2,1,3,1,1,1989,1,1,1,2,4,69,1,1.77,0,2,0,0,0
22.168997,-100.974376,2,3,2,1,3,1,1,1930,3,2,1,1,5,61,1,1.62,0,3,0,0,0
22.149654,-100.99861,2,1,1,1,2,1,1,1991,1,2,1,1,4,52,1,1.65,0,2,0,0,0
22.156469,-100.98554,2,3,4,1,2,2,2,1987,2,1,1,1,1,40,1,1.71,0,3,0,0,0
22.154021,-100.976028,0,2,0,1,2,1,0,1930,3,2,1,2,5,40,1,1.2,0,1,0,0,0
22.15,-100.983,2,1,2,2,2,1,0,1991,3,2,1,2,1,55,1,1.6,0,3,0,0,0
22.160572,-100.989418,2,3,2,1,2,1,1,1991,3,2,1,1,1,76,1,1.7,0,3,0,0,0
22.154339,-100.975342,2,2,4,3,1,1,1,1930,3,3,1,2,1,40,3,1.73,0,3,0,0,0
22.15,-100.983,2,1,2,2,2,1,0,1991,3,2,1,2,1,55,1,1.6,0,1,0,0,0
22.149005,-100.978153,1,3,1,1,1,1,1,1991,2,3,1,1,1,75,1,1.71,0,2,0,0,0
22.156724,-100.984268,2,1,3,3,1,1,1,1991,2,1,1,3,6,68,3,1.6,0,2,0,0,0
22.159427,-100.990448,2,2,4,1,3,1,2,1991,1,1,1,1,2,75,1,1.78,0,1,0,0,0
22.170396,-100.949936,2,1,2,1,3,1,2,1988,1,3,1,1,7,66,2,1.54,0,1,0,0,0
22.195826,-101.006317,2,1,2,3,1,1,1,1985,1,2,1,1,5,88,1,1.68,0,1,0,0,0
22.303308,-101.05468,2,2,4,2,2,1,1,1989,4,1,1,1,1,57,2,1.72,0,3,0,0,0
22.196787,-100.936335,2,2,1,2,1,1,1,1988,2,1,1,1,4,84,1,1.7,0,3,0,0,0
22.182571,-100.963232,2,3,4,1,2,1,1,1991,3,1,1,1,2,68,1,1.76,0,2,0,0,0
22.119847,-100.946527,2,3,4,1,2,1,1,1989,3,2,1,1,1,60,2,1.69,0,2,0,0,0
22.154677,-100.949013,2,1,1,1,1,1,1,1989,4,1,1,2,3,40,2,1.7,0,2,0,0,0
22.151796,-100.989075,1,1,4,1,2,1,1,1990,1,4,1,1,8,58,2,1.6,0,1,0,0,0
22.144803,-100.944623,2,3,4,1,2,1,1,1989,4,2,1,1,1,72,2,1.78,0,2,0,0,0
22.177726,-101.014094,2,2,1,1,3,1,1,1991,1,2,1,1,1,58,1,1.68,0,1,0,0,0
22.140388,-100.937321,2,3,1,3,1,1,1,1990,3,2,3,1,1,40,1,1.76,0,2,0,0,0
22.196624,-100.91217,1,1,4,3,2,1,1,1989,2,3,1,1,5,69,1,1.83,0,1,0,0,0
22.125603,-100.907844,2,3,1,1,2,1,0,1990,3,1,1,1,3,65,1,1.79,0,1,0,0,0
18.988278,-99.097023,2,2,4,3,3,1,1,1987,2,1,1,1,1,57,1,1.69,0,2,0,0,0
22.15,-100.983,1,3,1,3,1,1,1,1989,1,2,1,2,1,75,1,1.8,0,2,0,0,0
22.150087,-100.983325,2,2,2,1,2,1,1,1990,2,3,1,1,3,40,2,1.87,0,1,0,0,0
22.143289,-100.987683,2,2,1,1,1,2,3,1952,3,2,3,1,1,70,1,1.66,0,0,3,0,0
22.15421,-100.942233,2,1,4,3,3,1,1,1990,2,2,1,1,7,65,2,1.63,0,0,3,0,0
22.154021,-100.976028,0,2,0,1,2,1,0,1930,3,2,1,2,5,40,1,1.2,0,0,2,0,0
18.867,-99.183,2,2,2,1,2,1,1,1940,1,2,3,2,2,44,1,1.53,0,0,3,0,0
18.927072,-99.173584,2,1,2,3,1,1,1,1930,2,2,3,1,1,65,1,1.71,0,0,1,0,0
22.156247,-100.977402,2,1,2,3,3,1,1,1991,4,1,1,1,2,70,1,1.67,0,0,3,0,0
22.150891,-100.974891,2,1,1,3,1,1,1,1988,4,3,1,1,8,50,2,1.69,0,0,1,0,0
22.170396,-100.949936,2,1,2,1,3,1,2,1988,1,3,1,1,7,66,2,1.54,0,0,1,0,0
22.172109,-100.963199,1,3,2,2,1,1,1,1983,1,2,3,1,1,69,1,1.69,0,0,3,0,0
22.150087,-100.983325,2,2,2,1,2,1,1,1990,2,3,1,1,3,40,2,1.87,0,0,2,0,0
23.752265,-99.16859,2,2,4,3,2,1,1,1989,2,2,3,4,2,120,1,1.9,0,0,0,3,0
23.753112,-99.168567,2,2,2,1,2,1,1,1987,2,2,1,1,2,110,1,1.75,0,0,0,2,0
23.745096,-99.164357,2,1,4,1,2,1,1,1988,4,4,1,1,3,80,1,1.78,0,0,0,2,0
23.753336,-99.167984,2,2,1,2,2,1,1,1989,1,1,1,1,4,53,1,1.55,0,0,0,2,0
23.752265,-99.16859,2,2,4,3,2,1,1,1989,2,2,3,4,2,120,1,1.9,0,0,0,0,3
23.753237,-99.166868,2,1,2,3,2,1,1,1991,1,1,1,1,2,47,2,1.6,0,0,0,0,1
23.753061,-99.166095,1,2,2,3,2,1,0,1989,1,2,1,1,4,63,1,1.69,0,0,0,0,1
23.753112,-99.168567,2,2,2,1,2,1,1,1987,2,2,1,1,2,110,1,1.75,0,0,0,0,2
23.752874,-99.169242,2,2,1,1,2,1,1,1989,1,2,1,5,1,77,1,1.63,0,0,0,0,3
23.77103,-99.167082,2,2,1,2,2,1,1,1989,2,2,1,2,8,60,1,1.64,0,0,0,0,2
