,sex,age,answer_duration,lived_in_prefecture,lived_in_region,lived_in,lives_in_prefecture,lives_in_region,lives_in,changed_city,a1,b1,c1,d1,e1,f1,g1,h1,i1,j1,a2,b2,c2,d2,e2,f2,g2,h2,i2,j2
0,0,2,355,0,0,0,0,0,0,0,2,8,10,3,4,1,5,9,7,6,0,0,0,0,0,0,0,0,0,0
1,1,1,214,26,6,1,26,6,1,0,1,8,6,4,10,9,3,5,7,2,3,6,8,5,4,2,9,1,7,10
2,1,2,363,29,6,1,26,6,1,1,2,8,3,4,6,7,10,1,5,9,0,0,0,0,0,0,0,0,0,0
3,0,4,395,40,9,1,26,6,1,1,4,7,5,6,1,2,8,3,9,10,0,0,0,0,0,0,0,0,0,0
4,1,1,707,26,6,1,36,8,1,1,4,10,7,5,9,3,2,8,1,6,0,0,0,0,0,0,0,0,0,0
5,1,2,276,12,3,0,13,3,0,1,4,6,2,10,7,5,1,9,8,3,0,0,0,0,0,0,0,0,0,0
6,0,3,241,0,0,0,0,0,0,0,3,4,5,7,1,8,10,2,6,9,0,0,0,0,0,0,0,0,0,0
7,1,2,196,0,0,0,13,3,0,1,5,8,7,2,9,10,1,3,4,6,0,0,0,0,0,0,0,0,0,0
8,0,2,336,42,9,1,39,9,1,1,5,9,1,2,6,7,8,3,4,10,0,0,0,0,0,0,0,0,0,0
9,1,0,308,18,5,0,18,5,0,0,1,3,6,2,9,10,5,8,4,7,0,0,0,0,0,0,0,0,0,0
10,1,1,623,27,6,1,27,6,1,0,7,10,4,3,8,6,5,1,2,9,0,0,0,0,0,0,0,0,0,0
11,1,1,416,13,3,0,13,3,0,0,9,3,5,4,1,6,7,2,8,10,8,5,2,9,10,3,4,1,6,7
12,1,2,191,26,6,1,26,6,1,0,5,4,8,6,2,3,10,1,7,9,0,0,0,0,0,0,0,0,0,0
13,0,3,195,16,3,0,16,3,0,0,3,2,6,1,10,9,8,5,4,7,0,0,0,0,0,0,0,0,0,0
14,1,2,234,10,3,0,8,3,0,1,4,3,1,10,5,6,9,2,8,7,0,0,0,0,0,0,0,0,0,0
